"Sector_score","PARA_A","Score_A","Risk_A","PARA_B","Score_B","Risk_B","TOTAL","numbers","Risk_C","Money_Value","Score_MV","Risk_D","District_Loss","PROB","RiSk_E","History","Prob","Risk_F","Score","Inherent_Risk","CONTROL_RISK","Detection_Risk","Audit_Risk","Risk"
3.89,0,0.2,0,4.83,0.2,0.966,4.83,5,1,0.94,0.2,0.188,2,0.2,0.4,0,0.2,0,2,2.554,0.4,0.5,0.5108,"not.fraudulent"
3.89,0,0.2,0,10.8,0.6,6.48,10.8,6,3.6,11.75,0.6,7.05,2,0.2,0.4,0,0.221409035409035,0,4.4,17.53,0.4,0.5,3.506,"fraudulent"
3.89,0,0.2,0,0.08,0.2,0.016,0.08,5,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.02357081445395,1.416,0.4,0.5,0.2832,"not.fraudulent"
3.89,0.286311820693394,0.2,0,0.83,0.2,0.166,0.83,5,1,2.95,0.2,0.59,2,0.2,0.4,0,0.2,0,2,2.156,0.4,0.5,0.4312,"not.fraudulent"
3.89,1.1,0.4,0.44,7.41,0.4,2.964,8.51,5,1,44.95,0.6,26.97,2,0.2,0.4,0,0.2,0,3.87001273236567,31.774,0.4,0.5,6.3548,"fraudulent"
3.89,8.4,0.6,5.04,11.05,0.6,6.63,19.45,5.5,2.2,7.34,0.4,2.936,2,0.2,0.4,0.152837301587302,0.2,0,4.2,17.206,0.4,0.5,3.4412,"fraudulent"
3.89,3.61265454623879,0.6,2.388,0.99,0.2,0.198,4.97,5,1,1.93,0.2,0.386,2,0.2,0.4,0,0.2,0,2.4,4.372,0.4,0.5,0.8744,"not.fraudulent"
3.89,5.47,0.6,3.28647767118502,7.63,0.4,3.052,13.1,5,1,10.43,0.6,6.258,2,0.2,0.4,1,0.4,0.4,3.6,14.392,0.8,0.5,5.7568,"fraudulent"
3.89,0,0.2,0,0.84,0.2,0.168,0.84,5,1,0.007,0.2,0.0014,2,0.2,0.4,0,0.2,0,2,1.5694,0.4,0.5,0.31388,"not.fraudulent"
3.89,1.95,0.4,0.78,9.01,0.4,3.604,10.96,5,1,9,0.4,3.6,2,0.2,0.4,0,0.2,0,3,9.384,0.4,0.5,1.8768,"fraudulent"
